	chembl_tid	entry	entry_name	protein_names	protein_families	organism	ec_number	gene_names(primary)	gene_ontology(molecular_function)	primary_name	#mmp	#mms	machine1	machine2
179	CHEMBL4315	P47900	P2RY1_HUMAN	P2Y purinoceptor 1 (P2Y1) (ADP receptor) (Purinergic receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		P2RY1	A1 adenosine receptor binding [GO:0031686]; ADP binding [GO:0043531]; ATP binding [GO:0005524]; G protein-coupled ADP receptor activity [GO:0001621]; G protein-coupled ATP receptor activity [GO:0045031]; G protein-coupled purinergic nucleotide receptor activity [GO:0045028]; protein heterodimerization activity [GO:0046982]; scaffold protein binding [GO:0097110]; signaling receptor activity [GO:0038023]	P2Y purinoceptor 1	40	6	False	True
180	CHEMBL1808	P12821	ACE_HUMAN	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	Peptidase M2 family	Homo sapiens (Human)	3.2.1.-; 3.4.15.1	ACE	actin binding [GO:0003779]; bradykinin receptor binding [GO:0031711]; carboxypeptidase activity [GO:0004180]; chloride ion binding [GO:0031404]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; metallodipeptidase activity [GO:0070573]; metallopeptidase activity [GO:0008237]; mitogen-activated protein kinase binding [GO:0051019]; mitogen-activated protein kinase kinase binding [GO:0031434]; peptidyl-dipeptidase activity [GO:0008241]; tripeptidyl-peptidase activity [GO:0008240]; zinc ion binding [GO:0008270]	Angiotensin-converting enzyme	38	6	True	False
181	CHEMBL4016	P42262	GRIA2_HUMAN	Glutamate receptor 2 (GluR-2) (AMPA-selective glutamate receptor 2) (GluR-B) (GluR-K2) (Glutamate receptor ionotropic, AMPA 2) (GluA2)	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIA2 subfamily	Homo sapiens (Human)		GRIA2	AMPA glutamate receptor activity [GO:0004971]; amyloid-beta binding [GO:0001540]; ionotropic glutamate receptor activity [GO:0004970]; ligand-gated ion channel activity [GO:0015276]; signaling receptor activity [GO:0038023]	Glutamate receptor 2	38	2	False	True
182	CHEMBL332	P03956	MMP1_HUMAN	Interstitial collagenase (EC 3.4.24.7) (Fibroblast collagenase) (Matrix metalloproteinase-1) (MMP-1) [Cleaved into: 22 kDa interstitial collagenase; 27 kDa interstitial collagenase]	Peptidase M10A family	Homo sapiens (Human)	3.4.24.7	MMP1	endopeptidase activity [GO:0004175]; metalloendopeptidase activity [GO:0004222]; peptidase activity [GO:0008233]; serine-type endopeptidase activity [GO:0004252]; zinc ion binding [GO:0008270]	Interstitial collagenase	38	21	True	False
183	CHEMBL4093	P55055	NR1H2_HUMAN	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		NR1H2	apolipoprotein A-I receptor binding [GO:0034191]; ATPase binding [GO:0051117]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoid X receptor binding [GO:0046965]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; zinc ion binding [GO:0008270]	Oxysterols receptor LXR-beta	37	2	False	True
184	CHEMBL5921	O60502	OGA_HUMAN	Protein O-GlcNAcase (OGA) (EC 3.2.1.169) (Beta-N-acetylglucosaminidase) (Beta-N-acetylhexosaminidase) (Beta-hexosaminidase) (Meningioma-expressed antigen 5) (N-acetyl-beta-D-glucosaminidase) (N-acetyl-beta-glucosaminidase) (Nuclear cytoplasmic O-GlcNAcase and acetyltransferase) (NCOAT)	Glycosyl hydrolase 84 family	Homo sapiens (Human)	3.2.1.169	OGA	[protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine/L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102571]; [protein]-3-O-(N-acetyl-D-glucosaminyl)-L-serine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102167]; [protein]-3-O-(N-acetyl-D-glucosaminyl)-L-threonine O-N-acetyl-alpha-D-glucosaminase activity [GO:0102166]; beta-N-acetylglucosaminidase activity [GO:0016231]; hyalurononglucosaminidase activity [GO:0004415]	Protein O-GlcNAcase	37	10	True	False
185	CHEMBL1944	P08473	NEP_HUMAN	Neprilysin (EC 3.4.24.11) (Atriopeptidase) (Common acute lymphocytic leukemia antigen) (CALLA) (Enkephalinase) (Neutral endopeptidase 24.11) (NEP) (Neutral endopeptidase) (Skin fibroblast elastase) (SFE) (CD antigen CD10)	Peptidase M13 family	Homo sapiens (Human)	3.4.24.11	MME	cardiolipin binding [GO:1901612]; endopeptidase activity [GO:0004175]; exopeptidase activity [GO:0008238]; metalloendopeptidase activity [GO:0004222]; metallopeptidase activity [GO:0008237]; oligopeptidase activity [GO:0070012]; peptide binding [GO:0042277]; phosphatidylserine binding [GO:0001786]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]	Neprilysin	37	6	False	True
186	CHEMBL2959	Q08881	ITK_HUMAN	Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk)	Protein kinase superfamily, Tyr protein kinase family, TEC subfamily	Homo sapiens (Human)	2.7.10.2	ITK	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Tyrosine-protein kinase ITK/TSK	36	6	True	False
187	CHEMBL1075132	Q12931	TRAP1_HUMAN	Heat shock protein 75 kDa, mitochondrial (HSP 75) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1)	Heat shock protein 90 family	Homo sapiens (Human)		TRAP1	ATP binding [GO:0005524]; protein kinase binding [GO:0019901]; RNA binding [GO:0003723]; tumor necrosis factor receptor binding [GO:0005164]; unfolded protein binding [GO:0051082]	Heat shock protein 75 kDa, mitochondrial	36	1	False	True
188	CHEMBL3712954	P40933	IL15_HUMAN	Interleukin-15 (IL-15)	IL-15/IL-21 family	Homo sapiens (Human)		IL15	cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126]	Interleukin-15	34	2	True	False
189	CHEMBL4600	Q13153	PAK1_HUMAN	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	Homo sapiens (Human)	2.7.11.1	PAK1	ATP binding [GO:0005524]; collagen binding [GO:0005518]; gamma-tubulin binding [GO:0043015]; identical protein binding [GO:0042802]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase PAK 1	34	11	False	True
190	CHEMBL1952	P04818	TYSY_HUMAN	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Thymidylate synthase family	Homo sapiens (Human)	2.1.1.45	TYMS	folic acid binding [GO:0005542]; protein homodimerization activity [GO:0042803]; sequence-specific mRNA binding [GO:1990825]; thymidylate synthase activity [GO:0004799]; translation repressor activity, mRNA regulatory element binding [GO:0000900]	Thymidylate synthase	34	8	True	False
191	CHEMBL231	P35367	HRH1_HUMAN	Histamine H1 receptor (H1R) (HH1R)	G-protein coupled receptor 1 family	Homo sapiens (Human)		HRH1	G protein-coupled receptor activity [GO:0004930]; G protein-coupled serotonin receptor activity [GO:0004993]; histamine receptor activity [GO:0004969]; neurotransmitter receptor activity [GO:0030594]	Histamine H1 receptor	33	19	False	True
192	CHEMBL301	P24941	CDK2_HUMAN	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	Protein kinase superfamily, CMGC Ser/Thr protein kinase family, CDC2/CDKX subfamily	Homo sapiens (Human)	2.7.11.22	CDK2	ATP binding [GO:0005524]; cyclin binding [GO:0030332]; cyclin-dependent protein kinase activity [GO:0097472]; cyclin-dependent protein serine/threonine kinase activity [GO:0004693]; metal ion binding [GO:0046872]; protein domain specific binding [GO:0019904]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Cyclin-dependent kinase 2	33	9	True	False
193	CHEMBL4625	Q07817	B2CL1_HUMAN	Bcl-2-like protein 1 (Bcl2-L-1) (Apoptosis regulator Bcl-X)	Bcl-2 family	Homo sapiens (Human)		BCL2L1	BH3 domain binding [GO:0051434]; identical protein binding [GO:0042802]; protein heterodimerization activity [GO:0046982]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]	Bcl-2-like protein 1	32	10	False	True
194	CHEMBL1804	P30874	SSR2_HUMAN	Somatostatin receptor type 2 (SS-2-R) (SS2-R) (SS2R) (SRIF-1)	G-protein coupled receptor 1 family	Homo sapiens (Human)		SSTR2	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; PDZ domain binding [GO:0030165]; peptide binding [GO:0042277]; somatostatin receptor activity [GO:0004994]	Somatostatin receptor type 2	32	5	True	False
195	CHEMBL2525	Q9Y5Z0	BACE2_HUMAN	Beta-secretase 2 (EC 3.4.23.45) (Aspartic-like protease 56 kDa) (Aspartyl protease 1) (ASP1) (Asp 1) (Beta-site amyloid precursor protein cleaving enzyme 2) (Beta-site APP cleaving enzyme 2) (Down region aspartic protease) (DRAP) (Memapsin-1) (Membrane-associated aspartic protease 1) (Theta-secretase)	Peptidase A1 family	Homo sapiens (Human)	3.4.23.45	BACE2	aspartic-type endopeptidase activity [GO:0004190]	Beta-secretase 2	32	2	False	True
196	CHEMBL2808	Q13133	NR1H3_HUMAN	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)	Nuclear hormone receptor family, NR1 subfamily	Homo sapiens (Human)		NR1H3	cholesterol binding [GO:0015485]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sterol response element binding [GO:0032810]; transcription cis-regulatory region binding [GO:0000976]; zinc ion binding [GO:0008270]	Oxysterols receptor LXR-alpha	31	2	True	False
197	CHEMBL241	Q14432	PDE3A_HUMAN	cGMP-inhibited 3',5'-cyclic phosphodiesterase A (EC 3.1.4.17) (Cyclic GMP-inhibited phosphodiesterase A) (CGI-PDE A)	Cyclic nucleotide phosphodiesterase family, PDE3 subfamily	Homo sapiens (Human)	3.1.4.17	PDE3A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; cGMP-inhibited cyclic-nucleotide phosphodiesterase activity [GO:0004119]; metal ion binding [GO:0046872]	cGMP-inhibited 3',5'-cyclic phosphodiesterase A	28	5	False	True
198	CHEMBL1918	P39086	GRIK1_HUMAN	Glutamate receptor ionotropic, kainate 1 (GluK1) (Excitatory amino acid receptor 3) (EAA3) (Glutamate receptor 5) (GluR-5) (GluR5)	Glutamate-gated ion channel (TC 1.A.10.1) family, GRIK1 subfamily	Homo sapiens (Human)		GRIK1	glutamate receptor activity [GO:0008066]; kainate selective glutamate receptor activity [GO:0015277]; ligand-gated ion channel activity [GO:0015276]; signaling receptor activity [GO:0038023]; transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential [GO:1904315]	Glutamate receptor ionotropic, kainate 1	28	3	True	False
199	CHEMBL3012	Q13946	PDE7A_HUMAN	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A (EC 3.1.4.53) (HCP1) (TM22)	Cyclic nucleotide phosphodiesterase family, PDE7 subfamily	Homo sapiens (Human)	3.1.4.53	PDE7A	3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]; 3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]; metal ion binding [GO:0046872]	High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A	28	5	False	True
200	CHEMBL1917	P30872	SSR1_HUMAN	Somatostatin receptor type 1 (SS-1-R) (SS1-R) (SS1R) (SRIF-2)	G-protein coupled receptor 1 family	Homo sapiens (Human)		SSTR1	G protein-coupled receptor activity [GO:0004930]; neuropeptide binding [GO:0042923]; peptide binding [GO:0042277]; somatostatin receptor activity [GO:0004994]	Somatostatin receptor type 1	27	7	True	False
201	CHEMBL1892	Q04609	FOLH1_HUMAN	Glutamate carboxypeptidase 2 (EC 3.4.17.21) (Cell growth-inhibiting gene 27 protein) (Folate hydrolase 1) (Folylpoly-gamma-glutamate carboxypeptidase) (FGCP) (Glutamate carboxypeptidase II) (GCPII) (Membrane glutamate carboxypeptidase) (mGCP) (N-acetylated-alpha-linked acidic dipeptidase I) (NAALADase I) (Prostate-specific membrane antigen) (PSM) (PSMA) (Pteroylpoly-gamma-glutamate carboxypeptidase)	Peptidase M28 family, M28B subfamily	Homo sapiens (Human)	3.4.17.21	FOLH1	Ac-Asp-Glu binding [GO:1904492]; carboxypeptidase activity [GO:0004180]; dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallocarboxypeptidase activity [GO:0004181]; peptidase activity [GO:0008233]; tetrahydrofolyl-poly(glutamate) polymer binding [GO:1904493]	Glutamate carboxypeptidase 2	26	1	False	True
202	CHEMBL1870	P28702	RXRB_HUMAN	Retinoic acid receptor RXR-beta (Nuclear receptor subfamily 2 group B member 2) (Retinoid X receptor beta)	Nuclear hormone receptor family, NR2 subfamily	Homo sapiens (Human)		RXRB	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	Retinoic acid receptor RXR-beta	25	5	True	False
203	CHEMBL4801	P29466	CASP1_HUMAN	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	Peptidase C14A family	Homo sapiens (Human)	3.4.22.36	CASP1	CARD domain binding [GO:0050700]; cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; endopeptidase activity [GO:0004175]; identical protein binding [GO:0042802]; kinase binding [GO:0019900]	Caspase-1	25	3	False	True
204	CHEMBL2695	Q05397	FAK1_HUMAN	Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein phosphatase 1 regulatory subunit 71) (PPP1R71) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)	Protein kinase superfamily, Tyr protein kinase family, FAK subfamily	Homo sapiens (Human)	2.7.10.2	PTK2	actin binding [GO:0003779]; ATP binding [GO:0005524]; integrin binding [GO:0005178]; JUN kinase binding [GO:0008432]; non-membrane spanning protein tyrosine kinase activity [GO:0004715]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; protein tyrosine kinase activity [GO:0004713]; SH2 domain binding [GO:0042169]; signaling receptor binding [GO:0005102]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	Focal adhesion kinase 1	25	3	True	False
205	CHEMBL2061	P19793	RXRA_HUMAN	Retinoic acid receptor RXR-alpha (Nuclear receptor subfamily 2 group B member 1) (Retinoid X receptor alpha)	Nuclear hormone receptor family, NR2 subfamily	Homo sapiens (Human)		RXRA	DNA binding domain binding [GO:0050692]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; LBD domain binding [GO:0050693]; nuclear receptor activity [GO:0004879]; nuclear receptor binding [GO:0016922]; peptide binding [GO:0042277]; retinoic acid binding [GO:0001972]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; transcription cis-regulatory region binding [GO:0000976]; vitamin D receptor binding [GO:0042809]; zinc ion binding [GO:0008270]	Retinoic acid receptor RXR-alpha	25	6	False	True
206	CHEMBL5500	Q92831	KAT2B_HUMAN	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	Acetyltransferase family, GCN5 subfamily	Homo sapiens (Human)	2.3.1.48; 2.3.1.57	KAT2B	acetyltransferase activity [GO:0016407]; chromatin binding [GO:0003682]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; diamine N-acetyltransferase activity [GO:0004145]; histone acetyltransferase activity [GO:0004402]; histone deacetylase binding [GO:0042826]; lysine N-acetyltransferase activity, acting on acetyl phosphate as donor [GO:0004468]; peptide-lysine-N-acetyltransferase activity [GO:0061733]; protein kinase binding [GO:0019901]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; transcription factor binding [GO:0008134]	Histone acetyltransferase KAT2B	24	5	True	False
207	CHEMBL3912	Q8N1Q1	CAH13_HUMAN	Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII)	Alpha-carbonic anhydrase family	Homo sapiens (Human)	4.2.1.1	CA13	carbonate dehydratase activity [GO:0004089]; hydro-lyase activity [GO:0016836]; zinc ion binding [GO:0008270]	Carbonic anhydrase 13	23	11	False	True
208	CHEMBL1974	P36888	FLT3_HUMAN	Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135)	Protein kinase superfamily, Tyr protein kinase family, CSF-1/PDGF receptor subfamily	Homo sapiens (Human)	2.7.10.1	FLT3	ATP binding [GO:0005524]; cytokine receptor activity [GO:0004896]; glucocorticoid receptor binding [GO:0035259]; growth factor binding [GO:0019838]; protein-containing complex binding [GO:0044877]; protein self-association [GO:0043621]; protein tyrosine kinase activity [GO:0004713]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]; vascular endothelial growth factor-activated receptor activity [GO:0005021]	Receptor-type tyrosine-protein kinase FLT3	23	5	True	False
209	CHEMBL2004	P48443	RXRG_HUMAN	Retinoic acid receptor RXR-gamma (Nuclear receptor subfamily 2 group B member 3) (Retinoid X receptor gamma)	Nuclear hormone receptor family, NR2 subfamily	Homo sapiens (Human)		RXRG	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; nuclear receptor activity [GO:0004879]; retinoic acid-responsive element binding [GO:0044323]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid hormone receptor activity [GO:0003707]; zinc ion binding [GO:0008270]	Retinoic acid receptor RXR-gamma	23	5	False	True
210	CHEMBL2334	P42574	CASP3_HUMAN	Caspase-3 (CASP-3) (EC 3.4.22.56) (Apopain) (Cysteine protease CPP32) (CPP-32) (Protein Yama) (SREBP cleavage activity 1) (SCA-1) [Cleaved into: Caspase-3 subunit p17; Caspase-3 subunit p12]	Peptidase C14A family	Homo sapiens (Human)	3.4.22.56	CASP3	aspartic-type endopeptidase activity [GO:0004190]; cyclin-dependent protein serine/threonine kinase inhibitor activity [GO:0004861]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type endopeptidase activity involved in apoptotic process [GO:0097153]; cysteine-type endopeptidase activity involved in apoptotic signaling pathway [GO:0097199]; cysteine-type endopeptidase activity involved in execution phase of apoptosis [GO:0097200]; death receptor binding [GO:0005123]; peptidase activity [GO:0008233]; phospholipase A2 activator activity [GO:0016005]; protease binding [GO:0002020]; protein-containing complex binding [GO:0044877]	Caspase-3	22	10	True	False
211	CHEMBL3980	O94768	ST17B_HUMAN	Serine/threonine-protein kinase 17B (EC 2.7.11.1) (DAP kinase-related apoptosis-inducing protein kinase 2)	Protein kinase superfamily, CAMK Ser/Thr protein kinase family, DAP kinase subfamily	Homo sapiens (Human)	2.7.11.1	STK17B	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]	Serine/threonine-protein kinase 17B	22	3	False	True
212	CHEMBL4338	P00491	PNPH_HUMAN	Purine nucleoside phosphorylase (PNP) (EC 2.4.2.1) (Inosine phosphorylase) (Inosine-guanosine phosphorylase)	PNP/MTAP phosphorylase family	Homo sapiens (Human)	2.4.2.1	PNP	guanosine phosphorylase activity [GO:0047975]; identical protein binding [GO:0042802]; nucleoside binding [GO:0001882]; phosphate ion binding [GO:0042301]; purine nucleobase binding [GO:0002060]; purine-nucleoside phosphorylase activity [GO:0004731]	Purine nucleoside phosphorylase	22	11	True	False
213	CHEMBL4296	Q15858	SCN9A_HUMAN	Sodium channel protein type 9 subunit alpha (Neuroendocrine sodium channel) (hNE-Na) (Peripheral sodium channel 1) (PN1) (Sodium channel protein type IX subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.7)	Sodium channel (TC 1.A.1.10) family, Nav1.7/SCN9A subfamily	Homo sapiens (Human)		SCN9A	sodium ion binding [GO:0031402]; voltage-gated ion channel activity [GO:0005244]; voltage-gated sodium channel activity [GO:0005248]	Sodium channel protein type 9 subunit alpha	21	8	False	True
214	CHEMBL1873	P00750	TPA_HUMAN	Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B]	Peptidase S1 family	Homo sapiens (Human)	3.4.21.68	PLAT	phosphoprotein binding [GO:0051219]; serine-type endopeptidase activity [GO:0004252]; signaling receptor binding [GO:0005102]	Tissue-type plasminogen activator	21	6	True	False
215	CHEMBL5866	P35222	CTNB1_HUMAN	Catenin beta-1 (Beta-catenin)	Beta-catenin family	Homo sapiens (Human)		CTNNB1	alpha-catenin binding [GO:0045294]; beta-catenin binding [GO:0008013]; cadherin binding [GO:0045296]; chromatin binding [GO:0003682]; disordered domain specific binding [GO:0097718]; DNA-binding transcription factor binding [GO:0140297]; enzyme binding [GO:0019899]; estrogen receptor binding [GO:0030331]; histone methyltransferase binding [GO:1990226]; I-SMAD binding [GO:0070411]; kinase binding [GO:0019900]; nuclear receptor binding [GO:0016922]; protein C-terminus binding [GO:0008022]; protein kinase binding [GO:0019901]; protein phosphatase binding [GO:0019903]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; SMAD binding [GO:0046332]; transcription coactivator activity [GO:0003713]; transcription coregulator binding [GO:0001221]; transcription factor binding [GO:0008134]; transmembrane transporter binding [GO:0044325]	Catenin beta-1	21	1	False	True
216	CHEMBL4722	O14965	AURKA_HUMAN	Aurora kinase A (EC 2.7.11.1) (Aurora 2) (Aurora/IPL1-related kinase 1) (ARK-1) (Aurora-related kinase 1) (hARK1) (Breast tumor-amplified kinase) (Serine/threonine-protein kinase 15) (Serine/threonine-protein kinase 6) (Serine/threonine-protein kinase aurora-A)	Protein kinase superfamily, Ser/Thr protein kinase family, Aurora subfamily	Homo sapiens (Human)	2.7.11.1	AURKA	ATP binding [GO:0005524]; histone serine kinase activity [GO:0035174]; protein heterodimerization activity [GO:0046982]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]; protein serine kinase activity [GO:0106310]; protein threonine kinase activity [GO:0106311]; ubiquitin protein ligase binding [GO:0031625]	Aurora kinase A	20	13	True	False
217	CHEMBL1836	P35408	PE2R4_HUMAN	Prostaglandin E2 receptor EP4 subtype (PGE receptor EP4 subtype) (PGE2 receptor EP4 subtype) (Prostanoid EP4 receptor)	G-protein coupled receptor 1 family	Homo sapiens (Human)		PTGER4	prostaglandin E receptor activity [GO:0004957]	Prostaglandin E2 receptor EP4 subtype	20	9	False	True
218	CHEMBL2179	P04062	GLCM_HUMAN	Lysosomal acid glucosylceramidase (Lysosomal acid GCase) (EC 3.2.1.45) (Acid beta-glucosidase) (Alglucerase) (Beta-glucocerebrosidase) (Beta-GC) (Cholesterol glucosyltransferase) (SGTase) (EC 2.4.1.-) (Cholesteryl-beta-glucosidase) (EC 3.2.1.-) (D-glucosyl-N-acylsphingosine glucohydrolase) (Imiglucerase)	Glycosyl hydrolase 30 family	Homo sapiens (Human)	3.2.1.45; 2.4.1.-; 3.2.1.-	GBA	glucosylceramidase activity [GO:0004348]; glucosyltransferase activity [GO:0046527]; scavenger receptor binding [GO:0005124]; signaling receptor binding [GO:0005102]; steryl-beta-glucosidase activity [GO:0050295]	Lysosomal acid glucosylceramidase	20	3	True	False
219	CHEMBL1615381	O00255	MEN1_HUMAN	Menin		Homo sapiens (Human)		MEN1	chromatin binding [GO:0003682]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; phosphoprotein binding [GO:0051219]; protein-macromolecule adaptor activity [GO:0030674]; protein N-terminus binding [GO:0047485]; R-SMAD binding [GO:0070412]; transcription cis-regulatory region binding [GO:0000976]; Y-form DNA binding [GO:0000403]	Menin	20	3	False	True
220	CHEMBL210	P07550	ADRB2_HUMAN	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	G-protein coupled receptor 1 family, Adrenergic receptor subfamily, ADRB2 sub-subfamily	Homo sapiens (Human)		ADRB2	adenylate cyclase binding [GO:0008179]; amyloid-beta binding [GO:0001540]; beta2-adrenergic receptor activity [GO:0004941]; G protein-coupled receptor activity [GO:0004930]; identical protein binding [GO:0042802]; norepinephrine binding [GO:0051380]; potassium channel regulator activity [GO:0015459]; protein-containing complex binding [GO:0044877]; protein homodimerization activity [GO:0042803]	Beta-2 adrenergic receptor	19	12	True	False
221	CHEMBL4581	P52732	KIF11_HUMAN	Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5)	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family, BimC subfamily	Homo sapiens (Human)		KIF11	ATP binding [GO:0005524]; ATP-dependent microtubule motor activity, plus-end-directed [GO:0008574]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]; protein kinase binding [GO:0019901]	Kinesin-like protein KIF11	18	5	False	True
